"","ipr","ip","Recoveredt","minevent","damageD0","damageD1","damageD10","damageD11","damageD12","damageD15","damageD28"
"1580",1505,1580,10000,266,48.6546907117478,52.3541491988863,12.9339562243775,11.3716562645292,10.6636367392693,10.498835017942,17.0080367395053
"1581",1302,1581,10000,418,65.0845120382205,60.1578318111692,19.6141117740499,18.0510838752644,17.8784966039429,19.5389918907719,31.7048167476451
"1582",2104,1582,10000,288,70.1505728801836,62.1290092948461,12.3665362167454,10.8760587893944,10.1534286656814,9.29031985919593,13.9134587278657
"1583",91,1583,10000,382,37.1010690478577,31.7971323569885,7.2638422495095,6.47523441819818,6.11849454185125,5.76869682530129,6.04923792485155
"1584",205,1584,334,314,59.8023350606791,51.8653413593557,9.20747457122974,7.71232598939566,6.57064470946914,4.35690061849807,2.42310018648171
"1585",3969,1585,388,408,36.3712324459142,31.0835954893248,7.7079092940686,6.83378625935304,6.27044272820872,5.21758208760867,6.95783420021149
"1586",3049,1586,384,394,43.2989173981294,36.9664480806788,7.97221328598321,6.97318688562679,6.33725632133351,5.2228636220805,5.30603260722144
"1587",2939,1587,10000,336,79.0067035207592,75.8092000327455,30.381205762177,27.7079016558156,27.6015782344921,33.0934771333931,38.8086643604842
"1588",910,1588,396,402,40.1712358014715,33.6029704246008,7.33770804079519,6.58771783896875,6.16478293092145,5.30067945433675,3.97073735244383
"1589",2186,1589,10000,336,59.2480146129105,51.2828863957639,9.6743587179835,8.36526923450776,7.58112414056872,6.97607770136483,13.0943738319595
"1590",1679,1590,170,392,22.6824575146154,18.0109752482777,3.16954021669698,2.84804514517519,2.7020930928925,2.61535642690681,8.34842644813608
"1591",2491,1591,468,326,50.4724544605125,42.7519424242889,9.07910893426336,8.0364084836048,7.44594720362693,6.20450305146161,3.85389440435526
"1592",1,1592,248,426,25.237610385615,20.7764121992138,5.14143233499049,4.78325619365701,4.68629901895836,4.81765277117136,16.0458129937543
"1593",2819,1593,10000,550,20.688065046483,18.3537799123211,6.55795128890979,6.20219200153334,6.26803378130689,7.05393047443244,22.8589204515948
"1594",1748,1594,184,450,17.580086641099,14.6939126123519,3.77584560888526,3.45155099857974,3.33850125383361,3.31074217702439,8.14389774917884
"1595",1358,1595,296,282,64.7342734307654,54.2863273657637,6.73791956727333,5.7357280126002,5.14158983580457,4.11604922172733,3.29175668945423
"1596",1215,1596,212,392,27.9041689469802,22.5010817557487,4.22257579442538,3.8109117435158,3.70690909391594,3.79242231383125,8.68600730039191
"1597",1711,1597,250,290,48.7446380367484,39.5476520296015,5.28354475096507,4.54774349956816,4.1723921481906,3.60099026471543,4.46607345915012
"1598",1188,1598,10000,388,36.9269624720458,31.1113185833529,6.8864863934205,6.16651998811381,5.8736254817294,5.78640963656342,17.5496265945555
"1599",3170,1599,338,288,63.7862807735293,57.6231581275848,8.99050354681778,7.46310104008792,6.41135795711756,4.53679957882838,3.6079391959099
"1600",2882,1600,10000,360,55.5726339536587,48.6222488868886,12.7177054733783,11.7158157512864,11.5316065865146,11.9645107847449,19.9662596139544
"1601",632,1601,10000,366,55.6085676250406,48.0312745654768,9.72536215977259,8.6001847108172,8.02815492191015,7.49804773677361,12.2941571764719
"1602",2466,1602,10000,502,23.3907780420899,20.5026773712976,6.63052393417384,6.02827772887597,5.68317210759538,5.20880344309804,9.49961484151305
"1603",1637,1603,10000,420,27.8659174176222,23.8032347037675,6.29955155880634,5.76683877994591,5.65885436542383,5.92621139827593,16.0891023030713
"1604",3856,1604,278,290,57.2610537874742,49.6140266972503,6.75327877079102,5.53918949007,4.65271059019931,3.11599086334573,6.5055265469995
"1605",3623,1605,306,330,55.6926790778789,48.2417963596582,7.20400150835016,6.0277015680009,5.30987440334985,4.66926150024846,22.0704662273451
"1606",1857,1606,282,268,58.851691539244,51.8401506714637,6.6753263693745,5.56130626960188,4.81818640310532,3.62729677119823,5.86130371264523
"1607",1251,1607,406,262,48.7904743183225,49.1896189689933,9.1745951101927,7.87148716763692,7.05053148263756,5.53120219100843,4.64594043014225
"1608",1545,1608,256,304,52.1290652897026,42.9781624875909,5.55182399099353,4.73404915227644,4.27334770077619,3.66394783907954,7.28678110508631
"1609",942,1609,10000,276,68.9464508142312,66.0731909264728,16.3643494694126,14.2541111917328,12.8138389693735,10.0163376306551,8.15221833123898
"1610",1803,1610,236,320,43.8721413040609,35.3188634726621,4.80896627847853,4.0490754320091,3.5300520671981,2.63031203996679,1.97642951579896
"1611",1777,1611,330,332,48.162291729928,42.4867876186358,7.31175130862913,6.29864694987668,5.65268388976845,4.66897769672066,5.43539227991226
"1612",3713,1612,10000,434,28.5133361411474,24.7162154618555,7.79944026479247,7.26404890265398,7.11023047879601,6.89187985501568,8.92431595309815
"1613",3264,1613,10000,422,49.8049774871411,43.3076277894342,10.747222024455,9.56083033065656,8.85894171275572,7.55289284912737,6.63995536645699
"1614",3468,1614,10000,326,60.5641125677498,53.7390666010531,10.6198256970963,9.26861937296066,8.74704608772686,9.32156630267437,21.2229517082113
"1615",2654,1615,10000,230,61.3424881785592,68.5237035620349,22.5452197985984,19.61644435525,17.7526349582056,14.4231430068809,11.5247643243721
"1616",960,1616,204,468,15.3385688855129,13.2264582072555,4.249616499337,3.92207052777422,3.80135035977134,3.66029058222722,7.55135312344591
"1617",1265,1617,396,352,40.478011310493,34.0740498306784,7.59903206571044,6.70847357195009,6.15762930311891,5.23827340393496,6.89519023049094
"1618",227,1618,246,366,37.5667517173502,30.7665161914272,5.15153221421568,4.46033454554115,4.05531078844214,3.49049341190125,5.22898708286399
"1619",1818,1619,216,494,15.6068582424692,13.443181169932,4.5793367278422,4.29898446723118,4.28998452624922,4.77981661909868,18.8599781601873
"1620",2791,1620,234,366,36.4167151312321,29.2385120520632,4.80033116025996,4.27035520220068,4.06800447582585,3.97395215408421,9.4595536021339
