"","CL_percell","Km","Kc","F_extracellular","Knew"
"144",2.65801161902747e-06,0.000229842377290838,2.4125670516197e-05,0.238667353039247,0.00657949864179793
"145",2.38239921913238e-06,0.000232433720693775,2.45608107280031e-05,0.290807465380524,0.00662030851213759
"146",2.37842327924401e-06,0.000235043104966313,2.50321535823612e-05,0.309807863357859,0.00656543983616999
"147",2.44100866638857e-06,0.000244144781374581,2.56012154993701e-05,0.0567861951558068,0.00685065461883175
"148",2.41081254693755e-06,0.000231064819023923,2.43087838351045e-05,0.129332550762757,0.00676220029604524
"149",2.43009687439644e-06,0.000246609572914113,2.6451779794065e-05,0.248955523696637,0.00698717164986938
"150",2.42643920504563e-06,0.000238458037723831,2.54658014720047e-05,0.216231821616665,0.00707383562919982
"151",2.43408996150726e-06,0.00024402991918376,2.6191331435208e-05,0.166685961406501,0.00703780278533524
"152",2.20186201388184e-06,0.000242173702595144,2.54163886134013e-05,0.436116106166194,0.00668271892786975
"153",2.46288594855188e-06,0.000238922624995888,2.25331384346356e-05,0.482564451877992,0.00683201790525809
"154",2.44111325728055e-06,0.000253501143260066,2.25514006170309e-05,0.308861542079738,0.00662927945423459
"155",2.50298052903291e-06,0.000231487243302849,2.38642131894054e-05,0.158649040447311,0.00631156239295599
"156",2.48304679610941e-06,0.000230010274236958,2.35377337130909e-05,0.233395960513371,0.00625185352967065
"157",2.50374604007702e-06,0.000232501846071306,2.32940293992961e-05,0.234404061640311,0.00625733374602853
"158",2.38503105865932e-06,0.000273702867757416,2.55265625505292e-05,0.254222252026582,0.0060302352265468
"159",2.5722325343244e-06,0.000254737531784365,2.57321370403657e-05,0.461325032590548,0.00651025787940071
"160",2.42604491468066e-06,0.00023719490414181,2.40813013106637e-05,0.336524484459538,0.00655878187126251
"161",2.45378458353776e-06,0.000232124740871513,2.57013876547204e-05,0.470241107105698,0.00627370248005493
"162",2.39351130151619e-06,0.000239126863818238,2.56886144314641e-05,0.580203317251788,0.0064194219824952
"163",2.29415675237632e-06,0.000253560096833059,2.62474651303542e-05,0.438083875442899,0.00686132762918005
"164",2.44243903044966e-06,0.000245198301267291,2.47082885032386e-05,0.0563741568378328,0.00647422594856451
"165",2.639489630125e-06,0.000250052885290762,2.47685564553043e-05,0.122307187413362,0.00639885646981396
"166",2.5122451956885e-06,0.000266469087613302,2.33346195057243e-05,0.111553129801146,0.00699192762511974
"167",2.22115465526214e-06,0.000256900892194442,2.21684847905374e-05,0.111714852543921,0.00681966249350782
"168",2.18303032501141e-06,0.000237879924242879,2.29344498117718e-05,0.405879247963032,0.00713083875355369
